아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
엘제,상위 5%,24.09.21,화이트(긴팔),S,생각보다 커요,아주 만족해요,화면과 비슷해요,163,51,55,"간절기에 니트 안에 받쳐입을 용도로 구매했어요!

- 사이즈
후기 보고 S 사이즈 좀 작을까 걱정했는데 55 기준 적당히 여유있게(가슴이 없어서,,) 잘 맞았어요!
기장은 딱 배꼽 바로 아래까지 가려지고 생각보다 통은 컸습니다👍🏻

- 디자인
재질이 살짝 빳빳한 면 재질이라고 해야 되나 카라쪽이 뻣뻣해요!
단추 두개 풀르고 브이라인 니트에 맞춰서 카라 펼쳐입으면 예쁜거 같아요🫶🏻
저한텐 핏되는 라인은 아니라 단독으론 잘 안입고 레이어드용으로 잘 입을거 같습니다!

재질이 쫌 더 부드럽고 쫀쫀했으면 좋았을거 같아요! 핏은 만족합니다😊",S
jfre***,,24.02.25,라이트블루(긴팔),M,정사이즈예요,아주 만족해요,화면보다 밝아요,158,67,77,"가디건 안에 입을거라 핏한 크롭으로 사고싶어서 작을줄알고 샀는데 실제로도 작아서 억울함은 없고요..
85c 입는 가슴둘레 101이고요.. 와이어 있는 브라 입으면 못입고 브라렛 입거나 니플패치만 쓰면 꾸겨져서 입을 수 있어요. 
가슴단면 45인거 알고도 m사이즈가 최대길래 꾸역꾸역 산거라 잠기지 안을까봐 걱정했는데 잠기긴 잠깁니다.. 옷이 생각보다는 신축성이 있네요. 좀 터질거같은 비주얼이긴 하지만^_^
딱 원하던 가디건이랑 같이 입었을때 존재감없는 핏이라서 맘에듭니다. 날씬하면 단독으로 입어도 좋겠어요! 그 전에 L사이즈가 생긴다면 조금 더 좋겠지만요",M
eiivnYmd,상위 15%,24.01.29,화이트(긴팔),S,정사이즈예요,보통이에요,화면과 비슷해요,155,48,55,"생각보다 훨씬 두툼하고 탄탄한 재질이네요!
단독으로 입어도 예쁘고 레이어드 하려면 자켓이나 크롭 가디건이 예쁜 것 같습니다. 니트는 조금 부해보여요.

44-55 정도 되는데 s 괜찮고, 카라가 생각보다 큰 게 조금 아쉽습니다..!",S
6V4xCRwb,,24.01.27,화이트(긴팔),S,정사이즈예요,보통이에요,화면과 비슷해요,147,45,44,"초등 6학년아이가 조끼랑 같이 입고 싶다고해서 작은 사이즈 찾다가 크롭남방이 괜찮을 듯 해서 제일 작은 사이즈로 주문해봤는데 딱 좋아요
잘 입을 듯 합니다
스판기도 적당해서 편하다고 해요
세탁해보니 구김은 좀 가네요",S
EdUgxhXm,,25.01.13,화이트(긴팔),S,정사이즈예요,보통이에요,화면과 비슷해요,160,56,44,"가슴이 작아서 단추가 벌어지진 않아용
정면보단 옆선이 이쁘고 팔 기장은 소매가 손등을 적당히 덮는 긴 기장이에요
단독으로 입기엔 밋밋한 감이 있어서 다른 옷이랑 레이어드해서 입으면 이뻐요
단추를 목까지 잠그면 좀 답답해보이고 학생 같아 보여서 하나 푸는게 이뻐요 
카라는 빳빳하고 좀 큰 감이 있어요 옷 재질은 먼지가 잘 붙지만 탄탄하고 마감이 잘되어있어서 만족해요! 오래오래 입을 것 같아요",S
HYENNN,상위 25%,25.01.12,화이트(긴팔),S,정사이즈예요,아주 만족해요,화면과 비슷해요,162,52,55,"겨울철 두꺼운 니트도 바지에 넣어입고해서 부해보이는것 때문에 크롭길이 셔츠 찾다가 구입하였는데요, 소매에 단추도 디테일이 살아있고 카라도 너무 얇거나 두꺼우면 여기저기 입기에 어려울 수도 있는데 딱적당히 고급짐이 나오게 좋은 디테일 너무 만족스러운 구입니다‘",S
5dvBoIqU,상위 1%,24.12.27,화이트(긴팔)-롱,S,정사이즈예요,아주 만족해요,화면과 비슷해요,161,52,44,다들 마르고 그래서 작을꺼 같아서 엄청 찾아봤는데 그래도 이게 젤 괜찬아 보여서 롱 시켯는데 골반 딱 위까지 오고 딱 정핏인데 살이 좀 있는 편인데 s도 정사이즈로 맞지만 주름이 심해요 ㅠ그리고 레이어드하기 좀 애매해요 카라도 크고.. 근데 단독으로 입는게 젤 이뻐여,S
smil*****,상위 1%,24.12.12,화이트(긴팔),S,정사이즈예요,보통이에요,화면과 비슷해요,161,48,55,오버핏 셔츠만 많고 정핏이없어서 구매했어요 기본 이너로 입기좋고 핏도 사진과 비슷한데… 단점이 구김이 너어어무 잘가네요ㅠ 한번 세탁하고 입었는데 너무 심각하게 구겨져서 다림질을해도 주름이 잘 안펴질 정도였어요.. 얇아서 어두운 속옷은 비칠수 있으니 주의해서 입어야할것 같네요 여러장 구매하진않을 퀄리티에요,S
왕대두비숑,상위 5%,24.11.25,화이트(긴팔),S,정사이즈예요,아주 만족해요,화면과 비슷해요,150,38,33 이하,"셔츠필요해서 구매했는데 직진 배송이라 엄청 빨리왔고 포장도 깔끔하게 잘왔어요 실밥같은 것고 없고 셔츠 질이너 전체적인 퀄리티, 디테일이 좋다고 생각해요 처음 봤을땐 교복같아서 잘 늘어날까?싶어서 잡아당겨보니 잘 늘어나더라구요 안에 히트택입고(바지잠옷 ㅈㅅ) 찍었는데도 널널하니 괜찮더라구요 키가 작아서 크롭기장이 딱 맞아서 전 좋았습니더 그리고 옆라인이 일자로 떨어지는게 어니라 라인이 둥글게 들어가 있어서 더 예뻐요 여름빼고 모든계절에 잘 입을 것 같아요 기본 셔츠로 좋을듯 합니다",S
N2iYPQQf,상위 1%,24.11.18,화이트(긴팔)-롱,S,정사이즈예요,아주 만족해요,화면과 비슷해요,156,47,,"😢 : 바스트가 큰 편이 아닌데도 가슴 쪽만 좀 끼는 느낌이 있었고 카라가 생각보다 컸음. 가디건에 레이어드해서 입으실 분들은 이 점 신경써서 입으시길..!!
☺️ : 디자인이 꽤 유니크하고 핏을 잘 맞춰주는 느낌이 들었음. 날씨가 추워서 가디건에 레이어드해서 입었지만, 내년 봄쯤에는 단독으로만 입어도 되겠다싶을 정도. 

총평 : 집에 하나씩 챙겨두면 좋을 것 같은 기본템. 상품 퀄리티도 무난무난했고, 디자인과 핏도 우수했다. 다만, 니트나 가디건 등에 레이어드해서 입으실 분들은 예상보다 큰 카라에 조금 당황하실 수도 있겠다 싶음. 이 점만 빼면 👍👍",S
AuOY5rjh,상위 10%,24.11.02,화이트(긴팔),M,정사이즈예요,보통이에요,화면과 비슷해요,156,58,77,"레이어드해서 입으려구 구매했어요 
소재가 탄탄하니 관리 잘하면 오래입을 수 있을 것 같고
니트조끼랑 레이어드 했을때 길이감이 딱 좋아요 단독으로는 연청바지랑 입어도 예쁠 것 같아요
활동하면 팔뚝이 있는편이라 끼는 느낌은 나는데 스판재질이라서 불편하진 않아요😂",M
vSHZdhAH,,24.05.01,화이트(긴팔)-롱,M,정사이즈예요,아주 만족해요,화면과 비슷해요,169,57,55,"레이어드 하려고 샀습니다
키 169인데 롱 시키니까 크롭같아요! 그냥 일반 시켰으면 가슴만 간신히 가렸을 것 같네용
바스트 좀 있어서 단추 벌어짐은 안고갑니다
핏 재질 예뻐요🩵 160후반 소녀들은 롱 추천합니당",M
kGfRBtJy,,23.10.18,화이트(긴팔),S,정사이즈예요,보통이에요,화면과 비슷해요,158,53,55,"늦은 오후 주문인데 배송 하루만에 왔어요
레이어드해서 입고싶어 크롭으로 샀어요
어깨있는 마른 55 75c컵인인데 어깨랑 가슴은 맞고 허리는 남아요
길이가 조금더 길고 더 허리를 잡아줬음 좋겠단 생각이드네요
가슴부분은 벌어짐없이 좋아요
원다니 탄탄하고 스판있어 불편함은 없어요",S
HqbFVgX6,상위 10%,23.09.24,블루(긴팔),M,정사이즈예요,보통이에요,화면과 비슷해요,160,56,55,"진짜 이런 쨍한색상의 크롭 셔츠 찾다가 딱 발견했어요 색상 너무 맘에 들고 길이감도 원하는 길이라 너무 좋았어요 다만 가슴부분이 떠서 아찔하다랄까요 핀으로 고정해서 입어야했습니다ㅜㅜ
그래도 라인도 잘 살려구고 스판기도 있어서 있어서 좋았어요
화이트도 하나 더 구매 하려 합니다!",M
개굴리,,23.07.12,카키,M,정사이즈예요,아주 만족해요,화면과 비슷해요,163,72,66,"입으면 더 예쁘겠다 확신하고 샀는데 
진짜 너무x2528291 만족스러워요 ⸝⸝ʚ̴̶̷̆ﻌʚ̴̶̷̆⸝⸝ 

신축성이 거의 없는데 딱히 불편함은 없어요!
엄청 얇고 통기성 좋아서 여름 나기 좋을 것 같아요!!

이게 통기성이 정말 좋은게 비 맞아서 등이 완전 축축할정도로 젖어도 에어컨 빵빵한 실내로 들어가면 오분만에 다 말라요
저도 이게 되는지 알고싶진 않았어요 🚰 ·̫🚰 

상의 단독으로도 입고 민소매 원피스 위에 아우터로도 입었는데 입을때마다 살빠졌다는 말 들어서 좋았습니다 ㅎㅎㅎ",M
J8nICruf,상위 5%,23.07.10,블루,M,생각보다 커요,보통이에요,화면과 비슷해요,157,60,55,"완죤완죤 맘에 들어요
셔츠는...좋은데...주름 지는게 싫어서...
나일론 소재로 샀더니 자연스러운 주름이 잡혀있는 재질이다보니 신경쓰이지 않아서 넘 좋아요
색도 칙칙하지 않고 적당히 톤다운된 하늘색이라 차분하구요 다른 색도 사고싶네요...
사이즈는 S살까 M살까 고민을 많이 했는데 작은 것보단 넉넉한게 나을 것 같아서 M했는데 잘한 것 같아요
널널하고 좋아요 S하면 핏돼서 이쁘긴 했겠지만 편한건 M사쥬!! 이것도 팔 들면 허리 살보이는데 S는 더했을듯",M
mo04***,상위 25%,23.05.30,블루,M,정사이즈예요,아주 만족해요,화면과 비슷해요,157,66,66,뚱뚱이한테도 잘 맞아요! 항상 크롭 셔츠를 사면 부해보이는 느낌이 있는데 이 셔츠는 약간 핏이 허리가 얇아지는 핏이라 진짜 전혀 안부해보이고 옘뻐요..🥹 색도 너무 예뻐서 다른 색도 구매하려구요 재질이 바스락거려서 이런 재질 싫어하시면 약간 불호일지도..전 좋아요!,M
월급소진중독,탑리뷰어,24.10.30,화이트(긴팔),M,정사이즈예요,아주 만족해요,화면과 비슷해요,163,56,55,"✔️후기에 많이 작다는 글을 봐서 걱정했는데
저는 바스트가 소심한 편이라 그런지 그렇게 많이 안낑겨요🥲
✔️생각보다 스판끼가 좋아서 하나도 안불편해요!! 안에다 입기 좋아요 레이어드용으로 샀는데 찰떡🤍",M
감이지,상위 30%,24.10.16,화이트(긴팔),M,정사이즈예요,아주 만족해요,화면과 비슷해요,159,52,55,"✔️디자인&핏 : 허리 선이 예쁘게 들어간 쉐입에 카라가 조금 큰 편이라서 목이 짧다면 조금 들뜬다고 느껴질 수도 있어요! 단추를 풀고 누르면 예쁘게 세팅 가능해요😙 가디건이나 니트 코디에 적합하고 단독으로도 예뻤어요! 청바지나 슬랙스 다 잘 어울려요!
✔️사이즈 : 정사이즈인데 팔은 살짝 긴 거 같기도 해요! 제가 팔 짧아서 그런진 몰라도... 그리고 붙게 입고 싶어서 S로 교환하려다가 팔을 들어보니 붙으면 불편할란가 싶어서 교환 안했어요! 그래도 어깨 좁으신 분들은 S하는 게 좋을 거 같네용🤗
✔️퀄리티 : 튼어진 곳 없고 카라도 빳빳했어요! 단추 잠글 때 실밥이 조금 있어서 걸리적거리는 게 있었지만 전체적으로는 퀄리티가 좋았어요! 다만 조금 주름이 잘 지는 거 같아요~ 팔 접은 후 자국이 생기는 게 눈에 띄어 요~ 하지만 대부분 그러니..ㅎ 괜찮아요🤫
✔️색상 : 완전 화이트 쨍쨍해요! 얼굴이 환해보이는 정석 화이트예요
✔️향 : 새 옷 냄새가 안 나서 좋았어요~~ 시착 때 편안ㅎㅎ 😘",M
OPFD5OhN,,24.09.30,화이트(긴팔)-롱,M,생각보다 커요,보통이에요,화면과 비슷해요,158,49,44,"가디건이랑 레이어드해서 입으려고 샀어요
크롭길이도 적당하고 천이 뻣뻣한 느낌이 있는데 약간 신축성도 있어서 좋아요
다만 먼지가 너무 잘 붙는 재질이라 가디건 한번 입었는데 옷에 가디건 먼지가 다 붙어서 돌돌이 잘해줘야할거같습니다!",M
3KD4BH3Z,상위 20%,24.09.27,라이트블루(긴팔),S,정사이즈예요,아주 만족해요,화면과 비슷해요,161,55,66,"화이트도 샀는데 하늘색도 예쁠 것 같아서 같이 샀어요. 마감도 잘 되어있고 쫀쫀해서 잘 잡아주어서 예쁘게 입을 수 있어요. 단추를 잠그고 입어도 예쁘고 열고 입어도 예뻐서 활용도 좋게 입을 수 있을 것 같아요.
사진은.. 제가 너무 못 찍어서 어정쩡해 보이지만 제가 찍은 사진보다 훨씬 더 예쁘니 믿고 사셔도 좋을 것 같아요.
다만 승모가 좀 있으신 분들은 고민해 보셔야 할 게 있습니다. 옷이 달라붙는 편이고 깃도 좀 세워져 있어서 승모가 부각되어 보일 수 있습니다. 그런 점까지 고려해서 사시면 좋을 것 같아요.",S
3KD4BH3Z,상위 20%,24.09.27,화이트(긴팔),S,정사이즈예요,아주 만족해요,화면과 비슷해요,161,55,66,"가디건 안에 입으려고 샀는데 그냥 입어도 너무 예쁘네요. 
단추를 다 잠갔을 때 조금 움직이기 불편하지만 딱 달라붙게 입고 싶어서 산 거라 너무 만족스러워요. 
소매도 깔끔하고 단추도 다 깔끔해서 좋네요.
단추를 다 잠그고 입어도 예쁘고 안에 민소매 입고 열고 입어도 예뻐서 다양하게 매치해서 입을 수 있을 것 같아요.
제가 사진을 정말 못 찍어서 너무 어정쩡해 보일 수 있지만.. ㅠ 정말 사보시면 후회하지 않으실 거예요. 꼭 사세요!
다만 승모가 좀 있으신 분들은 달라붙기도 하고 깃도 좀 세워져 있어서 승모가 부각되어 보일 수 있으니 충분히 고민하고 사시면 좋을 것 같아요.
아무튼 예쁜 옷 만들어주셔서 너무 감사합니다ㅜ
잘 입을게요!",S
