아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
dJk00zuN,상위 20%,24.09.03,네이비(반팔ver.),F(44~66),생각보다 커요,보통이에요,화면과 비슷해요,166,55,55,"다들 허리쪽이 딱 맞다고해서 걱정했는데 하나도 안작고 여유있어요!
얇은 소재가 아니라 한여름엔 땀나고 힘들긴한데 지금부터는 엄청 좋을 것 같아요!!
확실히 허리를 잡아주고 강조하니까 좀 더 날씬하게 보일 수 있고, 팔도 여유있어서 편하고 좋아요
근데 다들 말했던것처럼 옷 자체가 엄청 까끌거려서 그런거 신경 안쓰는 무던한 저도 약간씩 거슬리긴했어요ㅠ",Free
3lzeOZ9n,,24.06.25,블랙(반팔ver.),F(44~66),정사이즈예요,보통이에요,화면과 비슷해요,164,55,55,"제가 어깨가 좁은건지 어깨는 좀 여유로워요
데일리 출근룩으로 딱 좋고 청바지에 입어도 예뻐요
오늘 입고 나왔는데 칭찬받았어요^^
재질은 나쁘지 않아요. 빨아도 보풀은 덜 날 것 같아요
허리부분이 타이트 하다고 하는데 전 살짝 올려 입어서 엄청 조이지는 않았어요",Free
tMTWJDtf,,24.06.18,아이보리(반팔ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,157,51,55,원단이 탄탄해요. 허리 잘록한 핏이 맘에 들어서 샀는데 생각보다 허리쪽 단추가 더 타이트해요.. 살 조금 더 붙으면 입기 힘들어질까봐 걱정이 조금.. 그래도 잘 구겨지는 원단아니라서 좋고 사진이랑 비슷한 핏이어서 넘 만족이에용!,Free
낙낙_,상위 5%,24.06.16,아이보리(반팔ver.),F(44~66),작아요,아주 만족해요,화면과 비슷해요,167,60,44,사이즈는 괜찮은 것 같지만 어제 엄청 많이 먹은 관계로 아랫단추가 안 잠기네요 ㅎㅎ 하지만 핏은 엄청 예쁘고 며칠 있다가 다시 입고 단추 잠기면 슬랙스랑 잘 어울릴 것 같아요! 너무 잘 산 것 같습니다,Free
8cFRGQCY,상위 25%,24.03.18,차콜,F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,160,50,55,너무나 마음에 드는 옷 발견. 무채색 옷이 별로 없어서 여행 가서 입으려고 샀는데 세상에 너무 예뻐요! 체형 때문에 애매한 아방핏 입으면 부해 보이는데 이건 허리에서 한 번 잡아주는 옷이라 어벙해 보이지 않고 저 아래 단추 세 개 푸르고 입는 게 포인트에요.,Free
D4WfueOL,탑리뷰어,25.01.15,차콜(기모_긴팔ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,160,46,55,"사진과 색상 재질 모두 동일합니다. 다만 배송이 거의 2주 정도 소요되었습니다. 그렇지만 배송을 기다린 보람이 있습니다. 블라우스는 겨울용으로는 예쁜걸 찾기 어려운데, 확실히 이 블라우스? 셔츠는 허리를 잘 잡아주는 적당히 크롭기장에 색이 너무 예뻐요. 사실 이 색상에 반해서 주문하긴 했는데 어떤 하의 디자인의 무슨 색상과 입어야 환상적일지 무척 고민됩니다 🥲 내일 당장 입고 나갈 생각에 두근거리는데, 혹시 판매자님.. 추천할만한 하의가 있다면 추천 부탁드려요!!! 최근에 산 옷 중에 제일 맘에 듭니다. 디폴트인 화이트 색상도 구매해야겠어요! 감사합니다!!!",Free
TNksPiM9,상위 25%,24.12.10,차콜(기모_긴팔ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,159,55,55,"옷 너무 예뻐요! 포인트 되는 부분도 있어서 
더 만족했습니다! 🫣 처음에 사진안보고
단추 두개 푸른줄 모르고 채웠다가 
뱃살부자 기준으로 너무 딱맞길래 걱정했는데 
두개푸르니 딱 괜찮네요 ㅎㅎ 너무 예뻐용",Free
g0pnBeNJ,상위 10%,24.11.20,아이보리(긴팔ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,164,46,55,너무 맘에들어요 하단 단추를 끝까지 잠그면 하의안에 옷 넣고 입은거처럼 연출되고 조금풀면 아래 살짝 삐져나오게해서 레이어드하기도 좋아요 도톰한 면이라서 겨울에도 입기 좋고 색은 완전 화이트는 아니고 좀 누런색나요 ㅋㅋㅋ,Free
벌말불주먹,상위 10%,24.11.20,차콜(긴팔ver.),F(44~66),정사이즈예요,보통이에요,화면보다 어두워요,158,58,66,"뚱뚱통통인 저에게도 잘 맞았구요 예쁩니다
다만 어깨 깡패처럼 보이는 긴 어깨라인과 오묘한 각짐, 기존 리뷰에도 있었던 안감에 봉제선 라인의 꺼슬거림이 맨몸으로 입기는 저는 어려울듯 싶습니다!
근데 핏도 어깨 빼면 제가 원하던 스타일이라 더 구매할 예정입니다!",Free
예옹,탑리뷰어,24.11.17,블랙(기모_긴팔ver.),F(44~66),정사이즈예요,보통이에요,화면과 비슷해요,159,50,55,"도톰한 겨울 셔츠가 필요한데, 오버핏은 너무 많구 크롭이면서 너무 부담스럽지 않은 셔츠를 찾고있었는데 딱 발견!!!ㅎㅎㅎ
무난한 블랙으로 구매햇는데 너무 예뻐요ㅠㅠ♥
우선 제 뱃살때문인건지 모델핏처럼 여유있는 느낌은 아니구 딱맞는 정핏이에용
특히 허리쪽 단추는 허리핏을 딱잡아주는 느낌이라 엄청 딱맞더라구요 머 많이 먹으면 단추 날라갈것같아여..ㅋㅋㅋ
대신 이거때문에 허리가 날씬해보이구 부들따뜻 재질이라 너무 예쁘고 조아용♥ 추천합니당
옷의 길이는 좀 짧은 편이에요!",Free
길석일기,상위 15%,24.10.21,아이보리(긴팔ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,168,53,55,"생각보다 재질 굉장히 튼튼해요! 늘어나는 재질 아닙니다.
아랫쪽 단추, 뒷 부분 봉재 디테일 덕분에 허리라인 잘 잡혀서 굉장히 잘록해보입니다. 허리라인 살짝 높긴한데 단추 구멍 3개 있어서 조절가능합니다.
속목부분 디테일도 굿굿
레이어드해서 입어도 무난무난 좋아요 코디하기도 좋으네여~~
어깨라이 각 되게 잘 살아있고 ㅎㅎ 목 깃이 넓어서 진짜 조음",Free
flyers,,24.10.15,아이보리(긴팔ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,167,54,55,"일단 옷에 아무냄새도 안나서 합격. 밑에 쪼이는부분 마감이 등에 닿아서 살짝 따갑긴해요. 팔 안걷으면 핏 약간 어정쩡해서 꼭 걷어서 입어줘야할거같고, 살짝살짝 크롭처럼 등부분이 위로 들려서 남모르게 섹시 어필 가능. 공복일땐 여유롭고 밥 많이 먹으면 배 쪼일듯함",Free
arunai,상위 5%,24.10.02,아이보리(긴팔ver.),F(44~66),생각보다 커요,보통이에요,화면과 비슷해요,165,53,55,차콜 구매하고 맘에 들어서 아이보리도 추가 구매했어요~ 블라우스치고는 재질이 탄탄한 편이라 단추 잠그고 입으면 단정하고 풀어서 입으면 아우터로도 활용 가능해서 좋아요! 다만 차콜보다 아이보리 카라가 좀 더 높게 올라오는 듯한 느낌도 드네용,Free
hCy2cCJQ,상위 15%,24.10.01,아이보리(긴팔ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,160,44,44,"옷이 후들후들하게 떨어지는, 가벼운 핏입니다. 기본 티라서 가볍게 입기 좋고 밖에 조끼, 니트와도 레이어드허기 쉽습니다. 단추 부분에 실밥 정리 안 된 부분이 간혹 있는데 그부분 정리하면 깔끔하게 됩니다. 
160cm 기준 골반 살짝 걸치는 길이입니다.",Free
