아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
WrFv38qP,,24.03.24,블랙,M(66-77),정사이즈예요,아주 만족해요,화면과 비슷해요,161,55,55,고개 숙여도 전혀 뭐 보이는 거 없구 바스락 바스락 너무 좋아요 저는 여름에도 긴팔 입는 걸 좋아해서 이런 재질이면 여름에도 입을 수 있을 거 같아요 소라색 너무 예쁩니다 사이즈도 넉넉해서 스몰사도 됐을거같아요! 미디움은 미디움 나름대로 편하고 예뻐서 대만족입니다!,M(66-77)
wY8EsZQ7,,23.11.29,크림,M(66-77),정사이즈예요,보통이에요,화면과 비슷해요,157,67,66,"크림색은 아이보리와 연한 노랑색 사이의 색이에요!
주름이 잘 질 것 같은 바스락 재질이고 얇은 편이에요
M이랑 L 중 고민했는데 워낙 넉넉하게 나온 사이즈라 M도 잘 맞았어요
후기에서 봤던 것처럼 겨드랑이쪽이 조금 끼는 느낌은 있어요
그래도 엄청 껴서 불편하다 이런 느낌은 아니고 딱 닿는 거라 땀나면 좀 민망할 것 같은 정도..?
길이도 엄청 짧진않아서 좋았고 가볍게 입고 다닐 수 있을 것 같아서 만족스럽습니다ㅎㅎ",M(66-77)
kMH1dFIQ,,23.04.17,크림,S(44-66),정사이즈예요,보통이에요,화면과 비슷해요,156,51,55,"여리여리 너무 예뻐요ㅠ
옷걸이도 같이 주셔서 유용합니다!
까슬까슬한거는 없으나 실밥은 조금 있어요~
바지에 넣어입는거는 조금 애매하고 빼서 입으면 살짝 부해보이지만 러블리한 매력이 있어요~",S(44-66)
sunnnnmmm,상위 10%,22.04.07,크림,S(44-66),생각보다 커요,아주 만족해요,화면보다 어두워요,159,55,55,"쿨톤분들한테는 크림색상 잘 안어울리실것같아요 
사진보다 색상이 엄청 물빠진 오렌지 색상같아요 
저한테 어깨 딱 맞았고 손 위로 올리면 바로 배보이는 길이에요 
소재 특성상 바스락거리고 땀이나 물에 바로 젖고 주름이 많이질수밖에없는데 그것만의 매력이 있어요 
생각보다 사이즈가 커서 체구가 작은 분들한테는 엄청 부해보일 것같아요",S(44-66)
NW6CVueZ,상위 20%,24.10.16,스카이sky,S(44-66),정사이즈예요,아주 만족해요,화면과 비슷해요,166,54,55,"상체는 작고 하체비만체형인데
이런스타일 블라우스 찾구 있었는데 다른데는 입으니깐 넘 부해서 실패했는데 여기는 성공했어요!!다른 후기처럼 겨드랑이쪽은 조금 찡기지만 품하고 핏은 대만족이요!!아이보리도 구매할까 싶어요~~",S(44-66)
판교구름,상위 10%,24.10.10,크림,L(77-88),생각보다 커요,보통이에요,화면과 비슷해요,168,61,55,재질은 봄 가을에 딱 입기 좋은 바스락 재질 블라우스입니다. 색도 따듯하니 예쁘고 퍼프도 귀엽긴해요. 다만 생각보다 부해보여서 단독으로 입기는 조금 부담스러운 면은 있어서 허리를 잡아주는 무언가가 있음 좋겠네요ㅜㅜ 저는 자켓이나 코트 안에 입어줄 때가 많았아요!,L(77-88)
ujMVi9FO,상위 10%,24.10.09,블랙,S(44-66),정사이즈예요,아주 만족해요,화면과 비슷해요,162,53,55,"필뚝같은 군살 뱃살 싹 가려주고 실밥같은것도 안 보이고 색도 똑같이 잘 왔어요~
노출 없이 편하게 입을 수 있어서 더 좋았고 바지든 치마든 다 잘 어울리고 꾸안꾸 느낌으로 입기 딱 좋아요!
소재는 살짝 잘 구겨지는거 같은데 검정이라 티가 잘 안 납니다~ 날씬해 보이고요~ 🤭
다른 색도 사려구요! 많이 파세요👐🏻👐🏻👐🏻🩷✨️",S(44-66)
wjds******,상위 15%,24.10.04,크림,L(77-88),정사이즈예요,아주 만족해요,화면과 비슷해요,159,61,55,"딱 원하던 핏과 사이즈에요 .ᐟ 제가 팔뚝살이랑 뱃살이 좀 있는데 둘다 커버 가능한 핏을 찾기가 쉽지 않더라구요 🥹 색도 웜톤인 저에게 찰떡이랍니다 😆 고민하다가 구매한건데 ,, 고민은 배송만 미룰뿐 .ᐟ 예쁘게 옷걸이에 걸어 보내주신것도 신경써주신게 느껴져서 열자마자 기분이 좋았답니당 💓",L(77-88)
qls2***,상위 5%,24.09.17,크림,XL(88-99),생각보다 커요,아주 만족해요,화면과 비슷해요,160,70,77,"원래 66반-77 사이즈라 라지 사이즈 입고싶었는데 품절이 생각보다 오래가서,, 그냥 큰 맘 먹고 엑스라지 주문했네요^^! 그럼에도 불구하고 퀄리티며 색감이며 다 마음에 듭니다! 제가 한 치수 크게 산거라 큰 거지 정사이즈로 샀었다면 예쁜 핏이었을 것 같아오 케이클럽은 믿(고)주(문)이라서 긴 말 필요없네용 ㅎ_ㅎ",XL(88-99)
ekdu*****,상위 1%,24.08.29,스카이,M(66-77),생각보다 커요,아주 만족해요,화면과 비슷해요,161,54,55,"블랙을 먼져 구매하고 너무 예뻐서 스카이색상으로 재구매 했습니다. 블랙은 m사이즈가 없어서 s로 시켜서 제 체격에 팔부분의 길이가 딱맞는 느낌이었는데 스카이는 m으로 시켜서 팔부분의 길이가 여유있어서 좋아요 그리고 확실히 통(?)이 넓어서 바람불때 조심해야할것 같고, 잘못 입으면 부해보일수도 있어요.하지만 그것들을 다 이겨낼만큼 예쁩니다. 움직일때 불편함도 없고요.",M(66-77)
2K0Jo5Y0,,23.05.04,크림,S(44-66),정사이즈예요,아주 만족해요,화면보다 밝아요,162,48,44,"봄웜라 찰떡 ㅎ ㅎ. 생각보다 얇지만 예뻐용 초여름까지 가능할 것만 같은 재질이구 다 좋은데 바람이 앞에서 불면 밑 부분이 발랑 까진다고 해야하나 그래서 바람 불 때 앞쪽으로 팔장 끼고 다니게 됨,,,",S(44-66)
S4hEXdgJ,상위 25%,24.09.20,라이트그린,S(44-66),정사이즈예요,아주 만족해요,화면과 비슷해요,158,41,44,이가격 옷이 뭐이리 포장을 잘해서 보내주시는지ㅠ 박스에 옷걸이까지와서 감동했어요- 현재 6개월 임산부고 치마에 배 가릴용으로 샀는데 저는 키가 작아서 딱 기장감이 배끝선에 떨어져요! 품 너무 크지도 않고 완전 만족합니다,S(44-66)
KMT,,24.05.15,크림,L(77-88),정사이즈예요,보통이에요,화면과 비슷해요,172,58,66,"급하게 주문했는데 다음날 밤 12시에 왔어요! 
옷걸이에 걸려 비닐 씌워져왓습니당
버터 색감 너무 예뻐서 다들 이쁘다고했어요ㅜㅜ
얇아서 바람불면 옷이 올라가긴하는데 나름 샤랄라해여 ㅋㅋ 
스퀘어넥도 맘에 들고 170넘구 제 덩치가 커서 고민했는데 예쁘게 핏이 떨어져서 더 부각되어보이진 않아요
넘넘 맘에 듭니다^~*",L(77-88)
