아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
Gf0YSw0M,,23.06.02,블랙,FREE(44-77),정사이즈예요,아주 만족해요,,163,58,55,"여행가서 입으러고 샀구요. 원래는 원피스 안쪽에 입으려고 했는데, 탑으로 단일로만 입어도 니쁘지 않아서 입었습니다. 튜브 탑을 3개를 샀는데 그 중에서 가장 쫀쫀하고 흘러내림도 없었어요. 그도 그럴것이 첫째날 입었을때는 쫀쫀한 면이 위에 입어야되는데 아래로 가게 입었는데도 안흘러내렸었네요 ㅋㅋ

다만, 그 흰색 패드 (동그란) 부분이 아주 크게 눈에 띄기 때문에 단독으로 입을땐 조금 주의해야할 것 같아요.

체형은 163에 58 키로인데 괜찮앗습니다",Free
FH4yMLio,,24.10.19,블랙,FREE(44-77),정사이즈예요,보통이에요,화면과 비슷해요,163,56,55,트임이 있는 롱원피스 입고 다닐거라 속옷끈 보일까봐 골랐어요 쫀쫀하니 흘러내릴 걱정 없이 잘 입고 다녔습니다 옆에 파인곳은 잘 가려져서 괜찮았습니다 일반 속옷은 옆이 파였는데 브라탑은 쫀쫀하니 딱 가려줘서 좋았어요,Free
영듀퐁듀,,23.10.11,화이트,FREE(44-77),정사이즈예요,보통이에요,,155,48,55,발리 여행가는데 나시 안에 입을 튜브 탑 구매했어요! 되게 부드러운 재질의 탑인데 55사이즈 입는 저한테 넉넉하게 잘 맞아요! 흘러내리지 않고 끼지도 않아서 편하게 입을 수 있을 것 같아요:-),Free
카일,상위 15%,24.08.19,블랙,FREE(44-77),작아요,아주 만족해요,화면과 비슷해요,170,62,66,"★ 사진 윗부분이 뒷면이고, 아랫부분이 앞면이에요!
예전에 구입해서 어디에든 편하게 입었던 기억이 있어서 재구매했어요.
이전과 사이즈는 거의 동일한데 조금 작아진 느낌이 있네요 ㅠㅠ 밴딩이 세진 건지?
베이직하게 입기 좋고 가격 대비 퀄리티가 좋아요. 다이어트해서 예쁘게 입을 수 있는 사이즈가 되면 또 구매할 것 같아요!",Free
B2z9iQ6I,,24.08.11,화이트,FREE(44-77),정사이즈예요,보통이에요,화면과 비슷해요,158,47,55,"일단 배송이 빠르게 와서 좋았는데 안에 캡ㅇㅣ 좀 운다해야할까?찌그러져있어서 입으면 그게 티가 나는게 조금 아쉬웠어요ㅠㅠ그리고 땀 많이 흘리는 요즘 날씨 때문인지 둘레때문인지 꽤 시간 지나면 내려가더라구요 그래서 중간중간 올려줘야해요! 
그래도 색도 괜찮고 둘레도 너무 안조여서 부유방 부각은 덜했네요",Free
sssh****,,23.11.14,베이지,FREE(44-77),정사이즈예요,아주 만족해요,화면보다 어두워요,157,45,44,"이렇게 캡 모양이 다 보이는게 정말 웃기긴하지만 굉장히 만족스러워요! 저는 니플패치를 항상 착용하긴하는데
니트에 입기는 좀.. 그래서 그 위에 입을 튜브탑을 찾고 있었어용
굉장히 비침이 심한 오프숄더 안에 입으려고 샀는데 흰색 오프숄더 안에 자연스럽게 착용됩니다 굿
저는 캡 빼고 입으려구요",Free
wPXvcacu,,24.07.19,블랙,FREE(44-77),정사이즈예요,아주 만족해요,화면과 비슷해요,165,58,55,"끈이 얇은 나시원피스나 상의 입을 때 안에 속옷으로 입었습니다!! 안 내려가고 좋았어요

스판 소재라서 완전히 안 내려가는건 아닌데 막 심할정도로 내려가진 않아서 잘 입고다녔어요~ 근데 많이 입으면 늘어날 것 같긴 해요...",Free
dZe4qOez,상위 1%,24.05.15,화이트,FREE(44-77),정사이즈예요,별로예요,화면과 비슷해요,161,54,55,무난하게 입을 수 있는 튜브탑 브라-실리콘이 덧대어 있지 않음에도 내려가지 않아서 신기했어요! 다만 많이 입으면 늘어나서 내려갈 것 같은.. 내장패드가 운다고 해야 되나.. 보기에 안 좋을 만큼 좀 그래서 갖고 있던 패드로 바꾸니 훨씬 쉐입도 그렇고 보기에 더 좋더라구요 가성비+직진배송 버프 아니었음 좀 그랬을듯,Free
G5oyrzsH,,24.03.15,화이트,FREE(44-77),작아요,보통이에요,화면과 비슷해요,164,68,77,77사이즈 입는데 저한테 작아서 입는게 좀 불편해요 ㅠㅠ 모델샷은 좀 더 길어보였는데 막상 입느니 좀 더 짧은 느낌이네요 하지만 소재가 부들부들하고 얇아서 여름에 입기 좋을것같아요 가격대비는 만족입니다 ..^^,Free
NNnXdv9G,상위 25%,24.03.11,블랙,FREE(44-77),정사이즈예요,아주 만족해요,화면과 비슷해요,162,48,55,휴양지 갈 때 튜브탑 입으려고 구매했어요 소재는 쿨링 감이 있는 소재라 여름에도 덥지 않게 입을 수 있어 마음에 들어요. 짱짱하게 조여 줘서 크게 흘러 내리지 않을 것 같아 안심이 됩니다!,Free
