아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
루또,탑리뷰어,24.07.30,2매입,그레이 FREE 1매,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,49.0,55,"죄송합니다 마른파이브. 당신을 오해했습니다.

아 이게 무슨 소리냐고요? 제 후기 리스트에 보면 마른파이브 모달 브라캡나시가 있거든요? 제가 아마 처음으로 별점 3점 줬던 아이일 겁니다. 처음 입었을 땐 불편했는데 어라라? 인간은 적응의 동물이라고 몇 번 입어보니 너~무 편한 거 있죠^^ 별점을 수정하고 싶었는데 기간이 지나서 저혼자 똥 마려운 개처럼 살았습니다. 그렇기에 일단 마른파이브에게 공식적으로 사과 먼저 박고 리뷰 시작합니다.

긴 말 안 하겠습니다. 개좋습니다, 사세요.
사실 저? 옷을 못 입어서 옷에 큰 돈 쓰지 않습니다ㅋ 그런 제가 고작 보이지도 않을, 이너로 입을 나시 하나가 1만원이 넘는데 산다?! 마른파이브에 대한 신뢰, 말 다했죠 후훗. 그럼 지금부터 제 이야기를 들려드리겠습니다.

어느 날 친구가 부산의 바다에 가자고 연락이 왔습니다. “꾸꾸꾸로 와라.” 생전 이런 부탁을 하는 아이가 아니라 저는 마음이 조급해졌습니다. 여름이 되면 어쩔 수없이 노출이 있는 옷을 입게 되는데, 그럴 때마다 속옷에 나시에… 입어 보신 분은 알겠지만 더워 디지고 끈 두 개 보여서 싫고 투명끈 귀찮고. 더군다나 저는 “꾸꾸꾸”라는 지령이 내려왔기 때문에 유교걸이지만서도 핫걸호소인이라도 되어보자 싶어서 급하게 지그재그에서 캡나시를 서치하기 시작했습니다. 여러 후보군들이 있었으나 마른파이브가 보이자마자 주저 없이(사실 후기 몇 개를 읽어 보았습니다만) 주문했습니다. 일반 배송이라 n/nn 이내에 배송이 온다고 해서 마음이 조급해졌습니다. 왜냐하면 친구가 부산 여행을 가자고 한 날이 딱 n/nn이었기 때문입니다. 하지만 다행히 n/nn-1에 도착을 해 주었고, 나는 매우 기뻤습니다. 그렇게 친구의 임무를 완수했다는 해피엔딩입니다.

제가 부유방 때문에 가슴이 네 개인 사람인데 여러분과 마른파이브를 위해 부끄럽지만 착샷을 공개합니다. 부유방 부각? ㅇㅇ됩니다. 근데 저는 부유방을 걱정할 거면 애초에 나시를 입지 마!!! (꾸짖을 갈) 마인드 입니다. 첫, 두 번째는 착샷이고(기장감도 함 보세요), 세 번째 사진은 포장 상태입니다. 간결하고 좋습니다. 네 번째 사진. 할 말 많습니다. 패드가 너무 부드럽습니다. 변태 같지만 닿았을 때 기분이가 너무너무 좋아지는 부드러움입니다.(이런 말 하지 말까요?) 다섯 번 째 사진은 정말 속옷처럼 끈 조절이 된다는 것을 상세숏으로 보여드리기 위해 찍어보았습니다.

요약하자면 잠옷으로 입어도 될 정도로 부드러운 재질에 끈 조절도 되고 캡도 있어서 속옷 안 입어도 되는데 이거 외않사? 입니다.

그럼 저는 이만 물러나겠습니다 총총총 (크롭 말고 기본 캡나시도 좋으니 많이 사주세용>.<)",Free
나아니면누구뽑을건데,상위 5%,24.08.21,2매입,아이보리 FREE 1매,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,47.0,55,"✔️프로필 키 158 55 사이즈 xs-s 상체에 비해 하체통통
셔츠 안에 입을만한 나시 종류를 찾는데 이왕이면 캡이 내장되어 있는게 편하겠더라고요,,??!!
단독으로 입기엔 속옷 느낌이 나서 이너용으로만 입을 것 같아요🙂
크롭 기장감도 제가 생각했던 기장감이라 정말 마음에 들었습니다😉
캡도 잘 고정되어 있고, 입었을 때 느낌도 편해서 잘 입었습니다 :-)
세탁하고 나서도 캡 고정 잘 되어있고 너무 좋아유~
셔츠 안에 입을 나시 찾는 분들께 강츄만츄~❣️",Free
TInSBp4J,상위 15%,24.12.05,F/L,아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,43.0,44,"모달면이라 아주아주 부드럽습니다! 캡내장나시를 살 때 제일 중요한건 캡의 딱딱함? 정도에요! 저는 캡이 딱딱하니까 너무 티도 나고 들뜨는 느낌이더라구요
캡도 말랑하고 끈도 조절할 수 있어서 정말 좋아요
세일할 때 두개 구매해두길 잘한 것 같아요",Free
TInSBp4J,상위 15%,24.12.05,F/L,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,43.0,44,"모달면이라 아주아주 부드럽습니다! 캡내장나시를 살 때 제일 중요한건 캡의 딱딱함? 정도에요! 저는 캡이 딱딱하니까 너무 티도 나고 들뜨는 느낌이더라구요
캡도 말랑하고 끈도 조절할 수 있어서 정말 좋아요
세일할 때 두개 구매해두길 잘한 것 같아요",Free
쿼카바라,상위 5%,24.11.29,F/L,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,55.0,55,"✔️키:159cm 몸무게:55kg 바스트:75c 힙: 38인치
✔️상의: 55 m 사이즈 하의:28 

크롭 처음 샀다가 너무 맘에 들어서 재구매합니다!! 소재 부들부들 너무 좋고 핏 예쁘고 아주 편해요! 움직이다 보면 사진처럼 허리라인 2,3센치 보이곤 하는데 부담스럽지 않고 딱 좋은 길이감이에요! 

일체형인데 패드 부분 안 불편하고 핏도 예뻐요 파임정도도 살짝 골보이는 정도여서 괜찮습니다~!

저는 귀찮아서 줄어들거 감안하고 건조기 돌리는데 그렇게 짧아졌단 느낌은 안들어요! 더 입다 줄거나 해지면 재구매 무조건 합니다. 강추해요!!


재구매의사: 100 추천: 100",Free
울블랙광인,상위 1%,24.11.21,F/L,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,155.0,48.0,44,단 하루도 마른파이브를 사랑하지 않은 날이 없음.... 정말 집에서 홈웨어로도 자주 입고 다니고 바깥 나갈 때도 속옷 하기 답답하면 그냥 이거 이너로 입고 나가요. 모달 원단이라 정말 부들부들 장난 아님. 내장되어있는 캡도 큰 움직임 없어서 편해요.,Free
t0MmFYhb,상위 5%,24.10.19,F/L,아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,156.0,50.0,,"배송 빠르고 포장 꼼꼼해요
차르르 떨어지는 느낌이라 편하게 입을 수 있어요 쫀쫀한 핏 아니어도 부유방 나름 잘 잡아주고 패드도 과하거나 불편하지 않아서 이너로 입기 딱 좋아요 밑에 밴딩 처리 되어있어서 안정감 있게 잡아줍니다 브라 불편하신 분들도 꼭 구매해보세용!
다만 하얀색이라 패드가 비쳐서 단독으로는 못 입을 것 같아요 그래도 가격 대비 정말 괜찮은 제품이라 생각해서 블랙으로 재구매 의사 있습니다",Free
youngi,상위 10%,24.10.02,XL,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,54.0,55,"여행갈 때 숙소에서 속옷 대용으로 입을 캡내장 끈나시를 찾고 있었는데 마음에 들어서 일상생할에서 착용하고 있습니다!! 일단 면이 굉장히 부드럽고 피부에 닿는 느낌이 너무 좋아요 🙂 그래서 손이 더 자주 가는 듯 ㅎㅎ
164cm 기준 배꼽 위까지 올라오는 크롭한 기장으로, 편하게 입을려고 xl사이즈로 구매했습니당!! 브라캡이 가슴을 편안하게 감싸주고 밑가슴 밴딩은 앞뒤로 되어있지만 조이지 않고 편안해요 🙂🙂 불편할 수도 있어서 하나만 주문했는데 재주문 하려고 합니당 ❤️",XL
T8WNEoRR,상위 15%,24.09.25,F/L,아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,157.0,43.0,44,"긴 거 사고 넘 마음에 들어서 짧은 거도 주문했어요! 후크 없이 입을 수 있어서 넘 편해요ㅎㅎ 소재도 부드러운 면 소재라서 하루종일 입어도 신경쓰이지 않아서 좋더라구요.

저는 약간 마른 편인데, 헐렁하지 않고 잘 맞아서 마음에 들었어요. 캡 고정하는 밴드 부분도 너무 조이지 않으면서 입고 나서 움직이지 않게 잘 고정되어 넘 잘 입고 있어요ㅎㅎ 

크롭 사이즈는 크롭기장의 티나 블라우스 입을 때 안에 입기 좋았어요. 크롭이라도 말려 올라가는 거 전혀 없이 잘 핏돼요!! 패드가 두껍지 않아 편하면서도 위에 옷 입었을 때 핏도 괜찮아서 이제 브라 대신에 여기 캡내장 끈나시로 정착할 것 같아요 :)

그리고 해외여행 짐 쌀 때도 가볍고 잘 접어 넣을 수 있어서 좋았습니당☺️",Free
복숭아,상위 10%,24.09.12,2매입,스킨 XL 1매,정사이즈예요,보통이에요,화면과 비슷해요,158.0,,55,"패드가 원단 겉에 안 비치는 색으로 되어 있어서 좋아요
엄청 부들하고 쫀쫀합니다 어깨끈 조절되는 게 좋아서 샀어요
뽕이 일체형인 건 빨래할 때 참 편한데 두께가 너무 도톰한 건 아쉬워요 엄청 얇은 버전으로도 나왔으면 좋겠네요",XL
